Test
"UPARK0230G",488,1085,"G","Faulkner","PARK","Parking spot 23","P23","U"
"UPARK0260G",488,1156,"G","Faulkner","PARK","Parking spot 26","P26","U"
"UPARK0290G",488,1175,"G","Faulkner","PARK","Parking spot 29","P29","U"
"UPARK0160G",498,960,"G","Faulkner","PARK","Parking spot 16","P16","U"
"UPARK0170G",498,976,"G","Faulkner","PARK","Parking spot 17","P17","U"
"UPARK0180G",498,994,"G","Faulkner","PARK","Parking spot 18","P18","U"
"UPARK0210G",504,1059,"G","Faulkner","PARK","Parking spot 21","P21","U"
"UPARK0240G",504,1085,"G","Faulkner","PARK","Parking spot 24","P24","U"
"UPARK0270G",504,1156,"G","Faulkner","PARK","Parking spot 27","P27","U"
"UPARK0300G",504,1175,"G","Faulkner","PARK","Parking spot 30","P30","U"
"UWALK0270G",506,1031,"G","Faulkner","WALK","Walkway 26","W26","U"
"UWALK0370G",506,1117,"G","Faulkner","WALK","Walkway 36","W36","U"
"UWALK0410G",506,1207,"G","Faulkner","WALK","Walkway 40","W40","U"
"UWALK0210G",529,956,"G","Faulkner","WALK","Walkway 20","W20","U"
"UWALK0220G",529,975,"G","Faulkner","WALK","Walkway 21","W21","U"
"UWALK0230G",529,997,"G","Faulkner","WALK","Walkway 22","W22","U"
"UWALK0240G",529,1033,"G","Faulkner","WALK","Walkway 23","W23","U"
"UWALK0250G",529,1121,"G","Faulkner","WALK","Walkway 24","W24","U"
"UWALK0260G",529,1205,"G","Faulkner","WALK","Walkway 25","W25","U"
"UWALK0200G",560,1033,"G","Faulkner","WALK","Walkway 19","W19","U"
"UWALK0460G",864,973,"G","Faulkner","WALK","Walkway 46","W46","U"
"UWALK0190G",957,953,"G","Faulkner","WALK","Walkway 18","W18","U"
"UWALK0180G",1059,984,"G","Faulkner","WALK","Walkway 17","W17","U"
"UWALK0430G",1171,1184,"G","Faulkner","WALK","Walkway 42","W42","U"
"UWALK0440G",1171,1265,"G","Faulkner","WALK","Walkway 43","W43","U"
"UEXIT0020G",1184,1265,"G","Faulkner","EXIT","Entrance/Exit 2","E2","U"
"UWALK0170G",1202,1003,"G","Faulkner","WALK","Walkway 16","W16","U"
"UWALK0420G",1210,1184,"G","Faulkner","WALK","Walkway 41","W41","U"
"UWALK0160G",1312,1022,"G","Faulkner","WALK","Walkway 15","W15","U"
"UWALK0150G",1427,953,"G","Faulkner","WALK","Walkway 14","W14","U"
"UPARK0010G",1468,714,"G","Faulkner","PARK","Parking spot 1","P1","U"
"UPARK0040G",1468,749,"G","Faulkner","PARK","Parking spot 4","P4","U"
"UWALK0010G",1468,694,"G","Faulkner","WALK","Walkway 1","W1","U"
"UWALK0120G",1468,770,"G","Faulkner","WALK","Walkway 11","W11","U"
"UPARK0020G",1484,714,"G","Faulkner","PARK","Parking spot 2","P2","U"
"UPARK0050G",1484,749,"G","Faulkner","PARK","Parking spot 5","P5","U"
"UWALK0130G",1485,770,"G","Faulkner","WALK","Walkway 12","W12","U"
"UWALK0020G",1488,694,"G","Faulkner","WALK","Walkway 2","W2","U"
"UWALK0140G",1501,770,"G","Faulkner","WALK","Walkway 13","W13","U"
"UPARK0030G",1503,714,"G","Faulkner","PARK","Parking spot 3","P3","U"
"UPARK0060G",1503,749,"G","Faulkner","PARK","Parking spot 6","P6","U"
"UWALK0030G",1504,694,"G","Faulkner","WALK","Walkway 3","W3","U"
"UWALK0040G",1535,694,"G","Faulkner","WALK","Walkway 4","W4","U"
"UWALK0050G",1537,710,"G","Faulkner","WALK","Walkay 50","W50","U"
"UWALK0060G",1535,732,"G","Faulkner","WALK","Walkway 6","W6","U"
"UWALK0070G",1531,762,"G","Faulkner","WALK","Walkway 7","W7","U"
"UPARK0070G",1566,714,"G","Faulkner","PARK","Parking spot 7","P7","U"
"UPARK0080G",1566,732,"G","Faulkner","PARK","Parking spot 8","P8","U"
"UPARK0090G",1566,753,"G","Faulkner","PARK","Parking spot 9","P9","U"
"UEXIT0010G",1588,947,"G","Faulkner","EXIT","Entrance/Exit 1","E1","U"
"UWALK0450G",1578,785,"G","Faulkner","WALK","Walkway 45","W45","U"
"UPARK0100G",1595,714,"G","Faulkner","PARK","Parking spot 10","P10","U"
"UPARK0110G",1595,732,"G","Faulkner","PARK","Parking spot 11","P11","U"
"UPARK0120G",1595,753,"G","Faulkner","PARK","Parking spot 12","P12","U"
"UWALK0090G",1619,715,"G","Faulkner","WALK","Walkway 8","W8","U"
"UWALK0100G",1619,733,"G","Faulkner","WALK","Walkway 9","W9","U"
"UWALK0110G",1619,751,"G","Faulkner","WALK","Walkway 10","W10","U"
